NO,SMA,Indonesia,Inggris,Matematika,Fisika,Kimia,Biologi
35,SMA NEGERI 2 MADIUN,86.51,79.63,60.53,63.78,77.29,70.71
36,SMA NEGERI 3 MADIUN,83.11,74.73,51.56,58.02,68.33,63.72
37,SMA NEGERI 4 MADIUN,79.13,62.05,37.61,39.75,45.94,51.12
38,SMA NEGERI 5 MADIUN,80.61,65.02,43.54,47.73,61.17,61.88
39,SMA NEGERI 6 MADIUN,76.68,62.39,38.53,39.81,53.13,55.75
40,SMA NEGERI 1 KOTA KEDIRI,85.94,78.7,58.27,60,65.44,69.02
41,SMA NEGERI 7 KOTA KEDIRI,85.54,76.18,54.83,64.46,61.27,69.74
42,SMA NEGERI 2 KOTA KEDIRI,87.89,83.99,66.98,68.9,71.88,78.38
43,SMA NEGERI 5 KOTA KEDIRI,79.9,59.6,43.44,43.22,50.19,60.51
44,SMA NEGERI 3 KOTA KEDIRI,84.19,68.74,53.88,52.69,60.77,66.62
45,SMA NEGERI 6 KOTA KEDIRI,76.99,52.92,34.61,41.16,48.82,54.9
46,SMA NEGERI 4 KOTA KEDIRI,81.86,62.42,44.6,44.74,51.18,56.12
47,SMA NEGERI 8 KOTA KEDIRI,80.85,62.56,41.06,46.16,52.42,60.12
48,SMA NEGERI 1 MOJOKERTO,78.38,62.33,47.04,45.77,50.45,60.5
49,SMA NEGERI 2 MOJOKERTO,82.4,72.6,55.54,56.08,68.26,72.26
50,SMA NEGERI 3 MOJOKERTO,76.64,60.65,47.66,43.57,61.05,61.45
51,SMA NEGERI 1 BLITAR,85.28,75.82,53.92,56.82,65.29,64.89
52,SMA NEGERI 2 BLITAR,81.35,64.67,44.23,55.71,49.82,62.18
53,SMA NEGERI 3 BLITAR,80.66,61.94,46.23,54.91,59.17,61.21
54,SMA NEGERI 4 BLITAR,78.59,60.87,43.51,46.23,55.88,51.98
55,SMA NEGERI 1 PASURUAN,84.57,74.35,56,59.34,66.39,68.54
56,SMA NEGERI 4 PASURUAN,79.12,62.54,42.8,39.38,49.41,58.86
57,SMA NEGERI 2 PASURUAN,79.78,63.37,48.6,58.27,51.52,62.85
58,SMA NEGERI 3 PASURUAN,71.16,47.77,35.22,49,43.72,46.09
59,SMA NEGERI 1 PROBOLINGGO,86.69,82.67,58.1,66.31,66,83.26
60,SMA NEGERI 2 PROBOLINGGO,80.42,64.74,41.76,47.31,50.68,61.23
61,SMA NEGERI 4 PROBOLINGGO,81.58,65.72,46.87,51.45,65,59.39
62,SMA NEGERI 3 PROBOLINGGO,74.93,52.53,39.3,35,47.14,54.19
63,SMA NEGERI 1 BATU,85.01,77.23,56.03,61.98,68.96,69.63
64,SMA NEGERI 02 BATU,81.02,61.03,43.96,46.49,59.64,58.17
65,SMA NEGERI 3,83.57,65.75,42.77,40.23,49.17,57.35
66,SMA NEGERI 1 GRESIK,87.85,85.86,66.97,73.35,76.48,82.54
67,SMA NEGERI 1 MANYAR,84.31,77.61,58.58,60.21,61.85,68.64
68,SMA NEGERI 1 SIDAYU,81.14,66.44,50.31,48.4,62.14,67.89
69,SMA NEGERI 1 CERME,78.61,63.91,48.95,56.67,71.14,69
70,SMA NEGERI 1 KEDAMEAN,72.33,55.87,43.88,57.29,46.67,56.89
71,SMA NEGERI 1 MENGANTI,76.61,55.73,37.43,39.89,49.57,55.84
72,SMA NEGERI 1 DRIYOREJO,78.16,64.9,46.64,47.98,52.39,65.82
73,SMA NEGERI 1 WRINGINANOM,70.55,49.64,37.76,41.67,44.11,54.7
74,SMA NEGERI 1 SANGKAPURA,65.97,47.25,38.69,50.89,67.12,52.53
75,SMA NEGERI 1 KEBOMAS,81.64,70.35,45.83,50.43,57.79,62.58
76,SMA NEGERI 1 BALONGPANGGANG,72.11,49.01,37.48,39.44,38.54,53.46
77,SMA NEGERI 1 DUKUN,78.06,55,41.17,70.78,66.18,59.45
78,SMA NEGERI 1 SIDOARJO,84.19,81.09,58.29,66.62,73.49,72.31
79,SMA NEGERI OLAH RAGA SIDOARJO,66.84,53.44,35.06,72.18,52.5,46.79
80,SMA NEGERI 2 SIDOARJO,82.71,76.71,53.15,51.8,70.24,62.26
81,SMA NEGERI 3 SIDOARJO,83,78.27,55.72,57.78,66.39,71.45
82,SMA NEGERI 4 SIDOARJO,74.76,60.76,41.99,50.03,52.6,55.58
83,SMA NEGERI 1 PORONG,72.17,56.31,43.53,45.98,44.56,58.14
84,SMA NEGERI 1 KREMBUNG,82.07,69.01,51.76,55.07,60.87,70.56
85,SMA NEGERI 1 KRIAN,85.25,79.52,63.08,61.09,73.11,75.86
86,SMA NEGERI 1 TAMAN,84.75,77.33,55.45,61.09,61.19,69.05
87,SMA NEGERI 1 WARU,77.15,67.53,48.74,52.41,54.7,58.76
88,SMA NEGERI 1 GEDANGAN,78.08,65.69,50.46,43.39,63.23,67.69
89,SMA NEGERI WONOAYU,72.1,56.77,42.28,40.45,60.58,62.15
90,SMA NEGERI TARIK,72.78,56.08,43.46,43.72,59.58,61.62
91,SMA NEGERI 1 SOOKO,85.35,77.27,61.12,60.06,71.68,73.52
92,SMA NEGERI 1 PURI MOJOKERTO,85.03,77.84,57.8,60.83,70.15,78.51
93,SMA NEGERI 1 GEDEG,74.89,51.41,38.27,39.08,48.75,50.99
94,SMA NEGERI 1 DAWARBLANDONG,75.46,49.34,40.08,50,52.58,50.24
95,SMA NEGERI 1 MOJOSARI,81.79,69.51,49.28,50.24,60.83,61.75
96,SMA NEGERI 1 TRAWAS,73.97,63.06,45.73,56.33,58.13,60.47
97,SMA NEGERI 1 GONDANG,78.33,55.12,37.63,41.5,42.32,57.8
98,SMA NEGERI 1 KUTOREJO,72.38,54.83,40.75,41.94,48.41,53.92
99,SMA NEGERI 1 BANGSAL,74.81,54.26,38.94,38.99,44.29,50.05
100,SMA NEGERI 1 NGORO,74.75,50.53,41.05,43.08,51.32,63.17
101,SMA NEGERI 1 PACET,72.04,50.81,35.08,47.71,42.74,48.21
102,SMA NEGERI 1 JOMBANG,82.53,71.28,46.35,45.06,59.41,64.3
103,SMA NEGERI 2 JOMBANG,87.55,82.83,63.57,70.6,69.57,76.85
104,SMA NEGERI 1 JOGOROTO,81.31,59.76,46.39,40.34,51.68,65.65
105,SMA NEGERI 3  JOMBANG,86.26,75.7,51.16,54.35,63.33,71.95
106,SMA NEGERI NGORO,83.49,66.57,49.27,55.7,53.88,66.35
107,SMA NEGERI BARENG,78.27,59.42,44.75,46.94,52.81,57.87
108,SMA NEGERI PLOSO,82.96,68.2,53.72,56.2,52.83,71.25
109,SMA NEGERI PLANDAAN,75.68,56.06,39.48,38.75,48.75,59.45
110,SMA NEGERI KESAMBEN,77.67,55.02,42.12,45,50.25,57.46
111,SMA NEGERI MOJOAGUNG JOMBANG,81.69,68.02,46.48,54.42,61.07,65.93
112,SMA NEGERI KABUH,71.78,54.09,39.94,52.93,42.5,60.09
113,SMA NEGERI BANDARKEDUNGMULYO,79.36,61.22,45.55,43.25,52.5,60.87
114,SMA NEGERI 1 BOJONEGORO,87.73,83.06,71.17,75.77,76.27,76.45
115,SMA NEGERI 3 BOJONEGORO,76.77,56.63,45.07,45.83,51.22,59.11
116,SMA NEGERI 2 BOJONEGORO,84.62,71.59,54.19,65.31,68.36,75.08
117,SMA NEGERI 4 BOJONEGORO,81.81,62.76,47.07,49.24,45.89,57.37
118,SMA NEGERI 1 DANDER,68.35,44.74,33.43,30.63,41.67,47.46
119,SMA NEGERI 1 PADANGAN,78.2,56.08,40.81,40.86,52.66,48.09
120,SMA NEGERI 1 KALITIDU,72.43,47.18,34.59,36.9,45.79,49.18
121,SMA NEGERI 1 NGRAHO,69.94,42.88,34.44,43.61,47.5,52.25
122,SMA NEGERI 1 KASIMAN,74.9,46.57,38.63,33.25,50.21,54.54
123,SMA NEGERI 1 SUMBERREJO,83.05,64.84,48.4,55.26,62.5,70.6
124,SMA NEGERI 1 KEDUNGADEM,74.15,45.65,33.57,36.5,40.78,49.62
125,SMA NEGERI 1 BAURENO,71.9,47.26,35.58,33.75,68.33,51.25
126,SMA NEGERI 1 SUGIHWARAS,74.31,51.77,38.54,41.14,51.73,50.1
127,SMA NEGERI 1 GONDANG,73.05,43.51,30.7,22.5,36.25,49.96
128,SMA NEGERI 1 TAMBAKREJO,67.45,40.84,33.1,38.5,45.68,46.96
129,SMA NEGERI 1 BALEN,74.14,47.8,35.97,81.32,51.25,54.46
130,SMA NEGERI MODEL TERPADU BOJONEGORO,75.33,56.27,41.75,43.28,49.72,50.39
131,SMA NEGERI 1 KEPOHBARU,58.39,39.92,30.39,45.89,50.75,45.2
132,SMA NEGERI 1 MALO,66.5,39.8,37.63,72.45,37.85,49.38
133,SMA NEGERI 1 BUBULAN,60.39,40.74,29.24,65.88,45.17,42.17
134,SMA NEGERI 1 TUBAN,86.91,81.37,68.67,66.78,72.35,78.24
135,SMA NEGERI 1 TAMBAKBOYO,77.19,56.04,39.16,45.97,46.67,54.85
136,SMA NEGERI 2 TUBAN,83.89,74.53,53.02,55,60.98,67.48
137,SMA NEGERI 3 TUBAN,78.45,56.77,39.34,38.13,50.63,56.83
138,SMA NEGERI 1 SINGGAHAN,75.94,49.76,40.58,58.57,80,54.52
139,SMA NEGERI 1 JATIROGO,81.71,59.65,45.2,50.19,52.5,59
140,SMA NEGERI 1 PARENGAN,75.22,48.1,36.9,49.32,66.88,50.2
141,SMA NEGERI 1 RENGEL,75.07,54.86,48.76,70.98,95,67.82
142,SMA NEGERI 4 TUBAN,77.85,63.87,46.89,48.5,53.75,56.47
143,SMA NEGER1 1 WIDANG,70.87,47.87,36.09,50,52.5,56.89
144,SMA NEGERI 1 GRABAGAN,74.38,50.81,32.11,67.90,36.94,49.13
145,SMA NEGERI 1 SOKO,71.57,47.63,37.29,45,45.97,51.96
146,SMA NEGERI 1 BANGILAN,68.59,48.21,33.38,57.5,40.23,48.84
147,SMA NEGERI 1 KEREK,73.51,47.48,32.19,34,48.97,45.35
148,SMA NEGERI 1 PLUMPANG,69.52,43.45,33.18,37.58,55.83,46.96
149,SMA NEGERI 1 BANCAR,64.4,41.94,31.43,36.39,38.33,41.61
150,SMA NEGERI 5 TUBAN,73.65,53.76,39.93,43.75,47.16,54.94
151,SMA NEGERI 1 MONTONG,63.31,42.64,33.88,72.33,38.43,46.15
152,SMA NEGERI 1 SENORI,68.83,47.33,35.52,30,62.5,44.88
153,SMA NEGERI 1 KENDURUAN,63.43,40.9,33.38,36.25,62.5,43.73
154,SMA NEGERI 1 LAMONGAN,71.95,53.17,43.99,42.39,50.1,63.03
155,SMA NEGERI 2 LAMONGAN,83.12,70.94,60.75,54.26,69.28,71.96
156,SMA NEGERI 1 BABAT,74.69,55.44,41.84,42.7,46.71,52.41
157,SMA NEGERI 1 SUKODADI,73.48,49.66,35.2,43.8,39.04,50.91
158,SMA NEGERI 1 PACIRAN,73.34,52.28,34.44,35.31,43.85,51.75
159,SMA NEGERI 1 NGIMBANG,72.64,45.99,39.97,35.2,47.5,48.91
160,SMA NEGERI 1 KARANGBINANGUN,67.51,45.39,36.97,39.69,41.34,47.84
161,SMA NEGERI I KEDUNGPRING,71.02,48.65,35.99,39.26,47.74,48.35
162,SMA NEGERI 1 MANTUP,71.26,50.32,40.59,53.61,66.71,60.54
163,SMA NEGERI 3 LAMONGAN,75.06,60.37,47.81,39.33,62.5,63.07
164,SMA NEGERI 1 SEKARAN,70.11,49.53,40.4,43.33,42.21,48.82
165,SMA NEGERI 1 BLULUK,69.79,44.17,33.45,38.13,47.5,45.42
166,SMA NEGERI 1 KEMBANGBAHU,67.3,48.86,38.67,44.5,46.25,55.39
167,SMA NEGERI 1 MEJAYAN,85.63,70.39,53.96,58.61,66.67,68.36
168,SMA NEGERI 1 PILANGKENCENG,72.2,47.82,36.81,42.5,44.41,50.19
169,SMA NEGERI 2 MEJAYAN,77.75,56.07,40.2,43.91,49.55,56.65
170,SMA NEGERI 1 SARADAN,67.35,44.68,32.92,35.18,42.5,48.28
171,SMA NEGERI 1 NGLAMES,74.19,48.81,38.71,39.14,51.74,54.48
172,SMA NEGERI 1 WUNGU,72.23,48.88,33.43,40.63,40,52.96
173,SMA NEGERI 1 JIWAN,71.41,47.93,34.32,36.85,40.36,49.7
174,SMA NEGERI 1 GEGER,85.07,73.18,56.11,58.25,65.49,69.78
175,SMA NEGERI 1 DOLOPO,75.49,53.71,36.13,40,60.13,52.64
176,SMA NEGERI 1 DAGANGAN,71.41,48.15,35.76,40,41,49.05
177,SMA NEGERI 1 NGAWI,83.05,67.72,48.04,61.47,65,65.45
178,SMA NEGERI 1 JOGOROGO,78.53,52.87,39.16,42.33,58.79,58.03
179,SMA NEGERI 1 KEDUNGGALAR,74.28,48.42,35.23,36.46,45.28,54.46
180,SMA NEGERI 2 NGAWI,81.92,69,48.46,46.61,56.31,62.95
181,SMA NEGERI 1 KARANGJATI,72.33,49.63,33.92,34,40,51.43
182,SMA NEGERI 1 WIDODAREN,77.61,53.76,38,45.94,63.75,59.9
183,SMA NEGERI 1 NGRAMBE,72.47,47.08,35.23,37.81,42.13,51.55
184,SMA NEGERI 1 SINE,72.64,50.3,35.02,37.92,44,50.91
185,SMA NEGERI 1 KENDAL,73.48,47.19,32.66,36.67,32.5,59.78
186,SMA NEGERI 1 KWADUNGAN,67.88,45.55,33.47,41.5,42.5,43.14
187,SMA NEGERI 1 MAGETAN,85.27,75.9,50.81,56.32,62.96,69.79
188,SMA NEGERI 1 KAWEDANAN,77.74,53.94,38.36,43.97,50.52,58.15
189,SMA NEGERI 1 PARANG,78.23,53.74,37.73,48.75,55,55.44
190,SMA NEGERI 2 MAGETAN,80.11,61.41,44.46,44.7,56.08,61.98
191,SMA NEGERI 1 SUKOMORO,71.39,48.61,34.08,38.75,40.29,52.93
192,SMA NEGERI 1 KARAS,71.72,47.8,32.99,43.71,39.44,48.76
193,SMA NEGERI 1 MAOSPATI,83.16,72.27,49.62,51.14,63.77,66.82
194,SMA NEGERI 1 BARAT,73.15,50.16,40.16,41.67,52.17,56.06
195,SMA NEGERI 3 MAGETAN,74.99,53.72,37.75,39.94,43.75,52.3
196,SMA NEGERI 1 PLAOSAN,74.71,54.48,33.99,41.11,47.27,51.59
197,SMA NEGERI 1 PONOROGO,83.93,74.74,52.78,50.58,68.29,69.83
198,SMA NEGERI 2 PONOROGO,80.93,68.72,45.13,46.69,58.72,62.62
199,SMA NEGERI 1 BABADAN,75.78,57.14,37.35,38.98,43.95,55.66
200,SMA NEGERI 3 PONOROGO,78.62,57.17,40.63,39.44,46.34,53.75
201,SMA NEGERI 1 SLAHUNG,74.02,46.28,35.76,35.63,44.76,48.16
202,SMA NEGERI 1 BALONG,77.94,54.26,38.95,56.25,60.83,52.75
203,SMA NEGERI 1 BUNGKAL,67.28,45.95,31.92,30.89,60.85,47.69
204,SMA NEGERI 1 BADEGAN,76.46,50.4,39.87,41.43,45.28,53.28
205,SMA NEGERI 1 SAMBIT,77.49,56,39.52,41.88,51.79,53.26
206,SMA NEGERI 1 PULUNG,73.82,52.34,35.51,39.08,47.5,48.88
207,SMA NEGERI 1 NGRAYUN,72.47,47.4,38.08,56.25,54.17,58.85
208,SMA NEGERI 1 JENANGAN,72.15,49.3,34.5,37.08,38.5,49.57
209,SMA NEGERI 1 SOOKO,66.43,42.43,31.63,38.33,38.33,41.82
210,SMA NEGERI 1 SAMPUNG,72.23,46.5,35,66.54,46.71,55.29
211,SMA NEGERI 1 JETIS,71.15,46.36,33.98,35,63.79,52.54
212,SMA NEGERI 1 KAUMAN,68.28,44.28,30.12,40.37,39.5,48.75
213,SMA NEGERI 1 PACITAN,86.36,73.8,53.65,57.58,66.7,72.42
214,SMA NEGERI PUNUNG,79.9,55.38,39.06,62.33,52.35,58.24
215,SMA NEGERI 2 PACITAN,70.23,54.4,38.11,39.42,49.85,50.88
216,SMA NEGERI 1 NGADIROJO,77.15,57.87,41.71,43.04,51.48,56.21
217,SMA NEGERI 2 NGADIROJO,74.24,46.97,35,70.85,40.5,50.63
218,SMA NEGERI TULAKAN,75.27,47.16,34.36,35,48.75,52.14
219,SMA NEGERI NAWANGAN,75.16,51.27,34.27,54.5,40.83,49.95
220,SMA NEGERI TEGALOMBO,72.03,46.59,33.38,44.17,53.5,51.71
221,SMA NEGERI 1 PARE,84.04,67.13,43.6,50.83,53.57,64.85
222,SMA NEGERI 1 KANDANGAN,74.5,47.97,35.67,42.41,44.11,49.25
223,SMA NEGERI 1 PUNCU,80.66,51.64,38.97,46.5,56.46,52.2
224,SMA NEGERI 2 PARE,86.46,76.92,59.65,56.08,69.32,71.64
225,SMA NEGERI 1 PLEMAHAN,80.73,58.44,41.4,44.69,50.05,56.51
226,SMA NEGERI 1 GURAH,78.57,54.04,38.73,40.75,45.8,53.79
227,SMA NEGERI 1 KANDAT,75.15,48.98,37.7,37.25,44.03,51.24
228,SMA NEGERI 1 NGADILUWIH,69.77,43.2,33.6,41.32,45,45.22
229,SMA NEGERI 1 PAPAR,75.01,48.85,35.11,35.83,41.63,50.22
230,SMA NEGERI 1 PURWOASRI,70.11,44.9,33.32,38.67,43.13,48.47
231,SMA NEGERI 1 GROGOL,78.4,53.48,40.33,39.58,48.33,55.56
232,SMA NEGERI 1 MOJO KEDIRI,71.26,49.67,34.57,41.59,40.5,53.6
233,SMA NEGERI 1 WATES,74.86,52.49,38.32,45.54,54.12,52.44
234,SMA NEGERI 1 PLOSOKLATEN,70.42,44.59,33.7,40,39.55,47.35
235,SMA NEGERI 1 NGANJUK,82.67,67.53,44.52,48.6,54.03,60.29
236,SMA NEGERI 1 BERBEK,68.5,47.66,32.75,39.83,46.25,52.03
237,SMA NEGERI 2 NGANJUK,86.5,77.98,62.32,67.75,69.19,75.25
238,SMA NEGERI 1 LOCERET,66.88,45.63,32.71,38.59,46,48.44
239,SMA NEGERI 1 PACE,67.46,43.97,32.63,42.14,42.56,47.41
240,SMA NEGERI 3 NGANJUK,73.05,52.96,37.04,40.65,60,56.86
241,SMA NEGERI 1 SUKOMORO,70.36,46.29,32.75,39.75,57.5,51.52
242,SMA NEGERI 1 KERTOSONO,82.08,66.18,48.34,53.08,60.16,64.59
243,SMA NEGERI 1 NGRONGGOT,68.2,43.94,33.3,37.02,43.75,45.53
244,SMA NEGERI 1 PATIANROWO,76.53,54.49,40.68,46.4,52.35,55.87
245,SMA NEGERI 1 TANJUNGANOM,81.31,58.02,44.05,48.47,56.3,65.33
246,SMA NEGERI 1 PRAMBON,74.58,48.48,35.17,40.81,46.67,52.15
247,SMA NEGERI 1 GONDANG,71.24,49.55,36.47,41.52,46.54,53.67
248,SMA NEGERI 1 REJOSO,64.17,44.11,33.52,40.96,46.43,52.82
249,SMA NEGERI 1 TALUN,83.22,69.71,46.48,50.16,57.2,61.27
250,SMA NEGERI 1 GARUM,80.91,60.59,43.57,45.1,51.67,55.96
251,SMA NEGERI 1 SRENGAT,84.38,66.96,50.55,59.66,64.66,64.23
252,SMA NEGERI 1 PONGGOK,74.52,48.5,36.37,41.09,40.89,52.28
253,SMA NEGERI 1 SUTOJAYAN,81.25,61.69,45.58,56.11,50.47,63.13
254,SMA NEGERI 1 KESAMBEN,79.8,58.6,39.58,41.11,51.17,58.38
255,SMA NEGERI 1 KADEMANGAN,74.67,53.56,34.58,36.86,50.19,53.64
256,SMA NEGERI 1 KEDUNGWARU,84.21,76.44,55.07,61.6,68.71,71.87
257,SMA NEGERI 1 BOYOLANGU TULUNGAGUNG,82.91,80.36,68.68,62.5,81.76,71.4
258,SMA NEGERI 1 GONDANG,76.99,60.04,45.11,45.2,57.5,62.05
259,SMA NEGERI 1 NGUNUT,79.32,60.98,44.49,51.79,50.03,58.91
260,SMA NEGERI 1 KALIDAWIR,73.66,47.28,34.83,37.72,55,52.42
261,SMA NEGERI 1 KAUMAN,80.78,66.15,50.28,53.06,60.39,68.96
262,SMA NEGERI 1 KARANGREJO,72.25,50.38,35.88,41.61,48.93,55.04
263,SMA NEGERI 1 CAMPURDARAT,70.56,47.26,35.06,37.5,52.08,50.59
264,SMA NEGERI 1 PAKEL,71.49,56.57,39.51,40.65,66.79,61.34
265,SMA NEGERI 1 REJOTANGAN,71.89,48.89,33.99,40.26,51.5,50.98
266,SMA NEGERI 1 TULUNGAGUNG,71.47,50.8,35.59,37.08,37.75,51.46
267,SMA NEGERI 1 TRENGGALEK,85.39,76.02,57.17,63.37,74.2,75.83
268,SMA NEGERI 1 BENDUNGAN,75.91,52.43,37.93,55.65,61.79,54.67
269,SMA NEGERI 1 DURENAN,77.84,58.38,38.67,49.69,59.17,60.04
270,SMA NEGERI 2 TRENGGALEK,81.45,63.35,44.55,48.86,56.25,65.95
271,SMA NEGERI 1 PANGGUL,72.89,49.06,37.04,50,50.87,52.01
272,SMA NEGERI 1 DONGKO,76.5,52.77,35.53,48.75,73.75,53.32
273,SMA NEGERI 1 KARANGAN,79.08,64.47,47.28,46.82,59.26,64.52
274,SMA NEGERI 2 KARANGAN,71.71,48,32.3,40,35.67,48.02
275,SMA NEGERI 1 KAMPAK,69.33,44.64,30.95,47.85,67.92,46.36
276,SMA NEGERI 1 PULE,75.06,49.19,33.68,55.75,76.67,53.84
277,SMA NEGERI 1 MUNJUNGAN,74.1,52.2,37.19,45.42,57.5,60.7
278,SMA NEGERI 1 TUGU,72.15,48.5,35.69,36.25,44.72,47.69
279,SMA NEGERI 1 NGANTANG,83.14,64.86,48.66,50,55.52,63.39
280,SMA NEGERI 1 LAWANG,87.84,79.64,66.17,63.09,73.15,77.27
281,SMA NEGERI 1 TUMPANG,83.92,65.2,45.64,50.66,58.75,61.99
282,SMA NEGERI 1 GONDANGLEGI,77.69,55.99,43.17,44.62,52.71,58.18
283,SMA NEGERI 1 TUREN,80.32,60.72,42.39,46.12,54.96,58.73
284,SMA NEGERI 1 KEPANJEN,87.48,78.05,56.9,58.51,63.3,74.84
285,SMA NEGERI 1 PAGAK,81.91,61.18,41.07,47.5,57.5,63.88
286,SMA NEGERI 1 BANTUR,78.71,59.33,42.34,52.86,55.13,67
287,SMA NEGERI 1 DAMPIT,77.33,55.53,39.32,44.69,50.99,53.82
288,SMA NEGERI 1 SUMBERPUCUNG,79.95,60.54,42.22,42.54,54.73,56.91
289,SMA NEGERI 1 SINGOSARI,79.38,60.27,38.58,40.05,51.58,55.23
290,SMA NEGERI 1 SUMBERMANJING,80.26,58.35,45.11,67.85,51.59,58.96
291,SMA NEGERI 1 BULULAWANG,76.08,55.57,41.88,51.62,59,61.24
292,SMA NEGERI 1 BANGIL PASURUAN,83.86,73.49,55.8,56.38,62.5,73.58
293,SMA NEGERI 1 PANDAAN,83.91,72.24,54.88,51.41,60.24,66.02
294,SMA NEGERI 1 PURWOSARI,80.11,58.72,44.13,54.08,51.17,59.53
295,SMA NEGERI 1 GRATI,77.64,54.53,39.8,45.1,45.19,51.27
296,SMA NEGERI 1 KEJAYAN,69.58,45.35,33.73,40.27,44.5,47.13
297,SMA NEGERI 1 GONDANGWETAN,74.14,52.82,39.88,48.75,43.46,50.78
298,SMA NEGERI 1 TOSARI,62.29,40.38,35.36,45.80,65.97,46.19
299,SMA NEGERI 1 LUMBANG,69.25,44.33,33.65,37.5,41.39,45
300,SMA NEGERI 1 PAITON,60.31,41.72,34.34,35.66,41.19,43.2
301,SMA NEGERI 1 KRAKSAAN,78.22,60.64,43.06,47.79,66,61.75
302,SMA NEGERI 1 GADING,63.52,41.79,33.05,60.87,63.75,48.09
303,SMA NEGERI 1 GENDING,73.4,50.93,37.6,43.21,49.11,55.14
304,SMA NEGERI 1 DRINGU,68.04,48.07,34.3,42.68,42.86,45.21
305,SMA NEGERI 1 TONGAS,66.02,46.54,32.61,33.75,43.04,45.66
306,SMA NEGERI 1 SUKAPURA,68.76,43.71,33.69,32.5,40.83,44.42
307,SMA NEGERI 1 LECES,67.71,46.02,34.55,40.18,45.83,43.53
308,SMA NEGERI 1 BESUK,56.94,36.64,31.49,55.35,40.56,40.92
309,SMA NEGERI 1 MARON,58.65,38.74,30.33,76.85,65.71,41.52
310,SMA NEGERI 1 KURIPAN,73.6,44.4,36,66.89,76.65,49
311,SMA NEGERI 1 TIRIS,61.24,37.57,31.22,49,56.89,45.2
312,SMA NEGERI 1 KRUCIL,66.6,43.4,36,66.85,42.77,46.5
313,SMA NEGERI 1 SUMBER,70.22,44.22,39.44,50.87,62.5,43.24
314,SMA NEGERI 1 SUMBERASIH,58.75,39.5,29.06,67.56,78.54,42.5
315,SMA NEGERI 1 LUMAJANG,83.89,66.32,47.75,50.53,63.11,62.82
316,SMA NEGERI KLAKAH,68.59,46.22,37.84,37.14,44.17,50
317,SMA NEGERI 2 LUMAJANG,87.72,78.11,66.69,65.45,80.55,74.17
